id,label,family,text,note
S01,smish,homoglyph-cyrillic,EcоCash: Your wallet has been suspended due to unusual activity. Restore access now: http://ecocash-restore.help/verify,Cyrillic о in 'EcoCash'. TF-IDF token 'ecocash' will NOT match.
S02,smish,spaced-keywords,C O N G R A T S ! You have w o n $500 in the EcoCash mega draw. Claim before 18:00 today: bit.ly/ecc-claim9,Whitespace-split keywords defeat word-level TF-IDF.
S03,smish,no-url-callback,ECOCASH SECURITY: A transfer of $340.00 to an unknown number is pending on your wallet. If this was not you call our agent on 0783 442 197 within 10 minutes to cancel.,No link at all. If has_url dominates the model this scores low.
S04,smish,agent-reversal,"Hie, I am an EcoCash agent. I mistakenly sent $120 to your number instead of my client. Please send it back to 0771 903 556 so I do not lose my job. God bless you.","Classic reversal fraud. Polite, no urgency keywords, no link, no OTP ask."
S05,smish,regulator-impersonation,POTRAZ NOTICE: SIM cards not re-registered by 20 August will be permanently deactivated. Complete re-registration here: https://potraz-simreg.co.zw.verify-now.net/form,Suffix-attached lookalike domain: real brand is a SUBDOMAIN of attacker domain.
S06,smish,delivery-fee,Your parcel ZW884120 is held at Harare depot. Outstanding customs fee $2.50. Pay to release: https://track-parcel-zw.com/pay/884120,"Small plausible amount, low-urgency tone, realistic tracking id."
S07,smish,otp-relay,EcoCash: 448192 is your one time PIN. Do not share it with anyone. Our agent will now call you to confirm this PIN and secure your account.,"Contains the real 'do not share' safety text, then subverts it. Models trained on OTP-format text often score these as genuine."
S08,smish,at-sign-url,Account verification required. Log in: https://www.ecocash.co.zw@secure-login-zw.ru/auth,Real brand appears before @ so the URL LOOKS legitimate. Host is actually secure-login-zw.ru.
S09,smish,ip-literal-url,OneMoney: unusual login detected from a new device. Secure your wallet: http://102.68.44.19:8080/onemoney/secure,Raw IP + non-standard port. Check you have an ip_literal_url signal.
S10,smish,punycode,Steward Bank: your card ending 4417 is blocked. Unblock: https://xn--stewardbnk-9db.co.zw/unlock,Punycode homoglyph domain. Renders as a near-identical brand name.
S11,smish,fullwidth-unicode,ＥｃｏＣａｓｈ： Ｙｏｕｒ　ａｃｃｏｕｎｔ　ｗｉｌｌ　ｂｅ　ｃｌｏｓｅｄ． Ｖｅｒｉｆｙ： ｈｔｔｐ：／／ｅｃｃ－ｖｅｒｉｆｙ．ｎｅｔ,Fullwidth codepoints. Even has_url regex fails (：／／ not ://). Needs NFKC normalisation before featurising.
S12,smish,leetspeak,3c0Cash Alert: y0ur acc0unt is on h0ld. Re-activate at ecocash-he1p.net/unl0ck or lose your ba1ance.,Digit-for-letter substitution across every high-signal token.
S13,smish,whatsapp-redirect,EcoCash Customer Care: we could not reach you regarding your reversal claim. Chat with your assigned officer on WhatsApp: https://wa.me/263779112044,"wa.me is a legitimate domain, so domain-reputation signals pass. Moves the victim off-channel."
